score(2021-09-01 16:29:54.795985),seed,score(2021-09-01 16:41:16.233476),score(2021-09-02 11:51:00.487567),score(2021-09-02 20:42:14.240745)
9845,0,9845,9845,9845
9848,1,9848,9848,9848
9855,2,9855,9855,9855
9814,3,9814,9815,9815
9813,4,9813,9810,9813
9822,5,9822,9822,9823
9854,6,9857,9862,9859
9847,7,9847,9837,9847
9844,8,9845,9849,9849
9839,9,9839,9837,9837
9846,10,9845,9836,9844
9834,11,9848,9845,9846
9846,12,9846,9838,9846
9820,13,9822,9820,9820
9825,14,9826,9828,9830
9831,15,9831,9831,9831
9842,16,9842,9836,9842
9832,17,9832,9827,9832
9842,18,9842,9834,9842
9836,19,9836,9833,9833
9831,20,9831,9823,9831
9822,21,9822,9817,9815
9821,22,9821,9803,9821
9823,23,9823,9818,9823
9824,24,9824,9821,9824
9814,25,9814,9815,9814
9819,26,9822,9810,9822
9824,27,9824,9821,9824
9822,28,9822,9824,9825
9816,29,9819,9814,9817
9826,30,9826,9826,9827
9836,31,9836,9833,9836
9844,32,9844,9839,9844
9848,33,9848,9848,9848
9844,34,9844,9842,9842
9803,35,9809,9790,9809
9799,36,9804,9780,9802
9791,37,9795,9796,9791
9794,38,9803,9803,9800
9810,39,9810,9806,9812
9804,40,9810,9801,9810
9811,41,9813,9806,9810
9809,42,9809,9803,9817
9817,43,9822,9813,9814
9817,44,9817,9814,9818
9816,45,9818,9821,9821
9872,46,9872,9871,9872
9866,47,9866,9867,9866
9862,48,9862,9862,9862
9857,49,9857,9857,9857
9860,50,9860,9856,9861
9873,51,9873,9874,9873
9872,52,9872,9875,9875
9869,53,9869,9870,9869
9876,54,9876,9874,9876
9872,55,9872,9870,9872
9876,56,9876,9876,9876
9855,57,9855,9851,9851
9850,58,9850,9846,9850
9856,59,9856,9856,9856
9846,60,9849,9846,9850
9841,61,9841,9849,9847
9877,62,9879,9879,9879
9876,63,9879,9879,9880
9878,64,9878,9876,9878
9878,65,9878,9873,9875
9884,66,9884,9876,9884
9818,67,9818,9812,9820
9822,68,9822,9822,9826
9822,69,9822,9822,9826
9826,70,9826,9824,9824
9817,71,9817,9811,9817
9816,72,9819,9820,9817
9839,73,9840,9845,9845
9841,74,9844,9841,9841
9851,75,9851,9844,9854
9843,76,9843,9843,9843
9849,77,9848,9845,9849
9811,78,9811,9805,9811
9812,79,9813,9813,9813
9809,80,9809,9807,9808
9818,81,9819,9819,9819
9804,82,9804,9806,9806
9840,83,9840,9839,9840
9839,84,9839,9832,9839
9844,85,9844,9839,9842
9842,86,9842,9840,9842
9835,87,9835,9836,9838
9824,88,9824,9811,9825
9825,89,9825,9818,9825
9828,90,9828,9826,9826
9824,91,9823,9813,9821
9822,92,9822,9820,9822
9818,93,9818,9818,9818
9821,94,9821,9821,9821
9814,95,9817,9817,9817
9820,96,9820,9819,9820
9823,97,9823,9821,9823
9825,98,9825,9818,9824
9850,99,9850,9848,9851
